PRISM Time Series Data
Locations: 157
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2021-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Nov-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
Location 1,-117.1219,32.5390,26,2021-01-01,0.00,45.3,60.8
Location 1,-117.1219,32.5390,26,2021-01-02,0.00,45.3,65.9
Location 1,-117.1219,32.5390,26,2021-01-03,0.00,46.3,62.9
Location 1,-117.1219,32.5390,26,2021-01-04,0.00,45.4,60.8
Location 1,-117.1219,32.5390,26,2021-01-05,0.00,46.3,62.0
Location 1,-117.1219,32.5390,26,2021-01-06,0.00,46.7,58.5
Location 1,-117.1219,32.5390,26,2021-01-07,0.00,46.0,59.2
Location 1,-117.1219,32.5390,26,2021-01-08,0.00,45.5,67.3
Location 1,-117.1219,32.5390,26,2021-01-09,0.00,44.4,63.4
Location 1,-117.1219,32.5390,26,2021-01-10,0.00,44.3,65.7
Location 1,-117.1219,32.5390,26,2021-01-11,0.00,47.6,71.0
Location 1,-117.1219,32.5390,26,2021-01-12,0.00,47.8,68.6
Location 1,-117.1219,32.5390,26,2021-01-13,0.00,48.6,70.9
Location 1,-117.1219,32.5390,26,2021-01-14,0.00,49.2,70.3
Location 1,-117.1219,32.5390,26,2021-01-15,0.00,53.4,80.4
Location 1,-117.1219,32.5390,26,2021-01-16,0.00,57.2,84.0
Location 1,-117.1219,32.5390,26,2021-01-17,0.00,54.0,76.3
Location 1,-117.1219,32.5390,26,2021-01-18,0.00,53.1,77.3
Location 1,-117.1219,32.5390,26,2021-01-19,0.00,50.2,66.5
Location 1,-117.1219,32.5390,26,2021-01-20,0.00,50.9,69.8
Location 1,-117.1219,32.5390,26,2021-01-21,0.01,57.6,69.6
Location 1,-117.1219,32.5390,26,2021-01-22,0.00,52.3,66.6
Location 1,-117.1219,32.5390,26,2021-01-23,0.05,51.3,63.8
Location 1,-117.1219,32.5390,26,2021-01-24,0.38,45.8,57.0
Location 1,-117.1219,32.5390,26,2021-01-25,0.32,45.7,57.0
Location 1,-117.1219,32.5390,26,2021-01-26,0.04,47.8,53.5
Location 1,-117.1219,32.5390,26,2021-01-27,0.00,43.6,55.4
Location 1,-117.1219,32.5390,26,2021-01-28,0.00,43.0,58.9
Location 1,-117.1219,32.5390,26,2021-01-29,0.75,46.0,61.6
Location 1,-117.1219,32.5390,26,2021-01-30,0.34,45.9,59.2
Location 1,-117.1219,32.5390,26,2021-01-31,0.00,44.8,59.5
Location 1,-117.1219,32.5390,26,2021-02-01,0.00,46.8,65.7
Location 1,-117.1219,32.5390,26,2021-02-02,0.00,55.7,68.8
Location 1,-117.1219,32.5390,26,2021-02-03,0.00,52.2,64.6
Location 1,-117.1219,32.5390,26,2021-02-04,0.00,50.3,59.9
Location 1,-117.1219,32.5390,26,2021-02-05,0.00,48.0,60.4
Location 1,-117.1219,32.5390,26,2021-02-06,0.00,47.0,63.0
Location 1,-117.1219,32.5390,26,2021-02-07,0.00,45.9,68.1
Location 1,-117.1219,32.5390,26,2021-02-08,0.00,46.4,62.0
Location 1,-117.1219,32.5390,26,2021-02-09,0.00,49.3,58.0
Location 1,-117.1219,32.5390,26,2021-02-10,0.00,52.2,58.8
Location 1,-117.1219,32.5390,26,2021-02-11,0.00,48.5,60.1
Location 1,-117.1219,32.5390,26,2021-02-12,0.00,48.1,62.9
Location 1,-117.1219,32.5390,26,2021-02-13,0.05,50.2,60.4
Location 1,-117.1219,32.5390,26,2021-02-14,0.00,49.9,60.0
Location 1,-117.1219,32.5390,26,2021-02-15,0.00,49.2,61.9
Location 1,-117.1219,32.5390,26,2021-02-16,0.16,48.1,60.6
Location 1,-117.1219,32.5390,26,2021-02-17,0.00,49.7,60.3
Location 1,-117.1219,32.5390,26,2021-02-18,0.00,47.4,60.6
Location 1,-117.1219,32.5390,26,2021-02-19,0.00,46.5,65.7
Location 1,-117.1219,32.5390,26,2021-02-20,0.00,46.5,65.3
Location 1,-117.1219,32.5390,26,2021-02-21,0.00,46.7,60.7
Location 1,-117.1219,32.5390,26,2021-02-22,0.00,45.8,75.6
Location 1,-117.1219,32.5390,26,2021-02-23,0.00,48.8,77.7
Location 1,-117.1219,32.5390,26,2021-02-24,0.00,48.1,70.8
Location 1,-117.1219,32.5390,26,2021-02-25,0.00,46.8,66.9
Location 1,-117.1219,32.5390,26,2021-02-26,0.00,46.5,71.0
Location 1,-117.1219,32.5390,26,2021-02-27,0.00,46.8,69.6
Location 1,-117.1219,32.5390,26,2021-02-28,0.00,46.4,61.4
Location 1,-117.1219,32.5390,26,2021-03-01,0.00,46.8,69.4
Location 1,-117.1219,32.5390,26,2021-03-02,0.00,46.5,74.5
Location 1,-117.1219,32.5390,26,2021-03-03,0.00,44.6,68.1
Location 1,-117.1219,32.5390,26,2021-03-04,0.59,45.9,58.9
Location 1,-117.1219,32.5390,26,2021-03-05,0.00,48.1,63.1
Location 1,-117.1219,32.5390,26,2021-03-06,0.00,50.9,66.0
Location 1,-117.1219,32.5390,26,2021-03-07,0.00,51.1,63.0
Location 1,-117.1219,32.5390,26,2021-03-08,0.00,50.7,60.5
Location 1,-117.1219,32.5390,26,2021-03-09,0.00,51.6,60.8
Location 1,-117.1219,32.5390,26,2021-03-10,0.19,48.9,59.7
Location 1,-117.1219,32.5390,26,2021-03-11,0.42,49.6,58.8
Location 1,-117.1219,32.5390,26,2021-03-12,0.14,46.4,56.3
Location 1,-117.1219,32.5390,26,2021-03-13,0.00,45.7,56.2
Location 1,-117.1219,32.5390,26,2021-03-14,0.00,48.8,59.4
Location 1,-117.1219,32.5390,26,2021-03-15,0.00,51.9,58.0
Location 1,-117.1219,32.5390,26,2021-03-16,0.19,49.5,55.9
Location 1,-117.1219,32.5390,26,2021-03-17,0.00,43.9,56.5
Location 1,-117.1219,32.5390,26,2021-03-18,0.00,44.0,59.3
Location 1,-117.1219,32.5390,26,2021-03-19,0.00,48.1,60.5
Location 1,-117.1219,32.5390,26,2021-03-20,0.00,48.4,64.5
Location 1,-117.1219,32.5390,26,2021-03-21,0.00,48.2,61.4
Location 1,-117.1219,32.5390,26,2021-03-22,0.00,47.2,60.1
Location 1,-117.1219,32.5390,26,2021-03-23,0.00,47.0,62.2
Location 1,-117.1219,32.5390,26,2021-03-24,0.00,49.5,59.6
Location 1,-117.1219,32.5390,26,2021-03-25,0.00,47.5,62.1
Location 1,-117.1219,32.5390,26,2021-03-26,0.09,50.8,58.8
Location 1,-117.1219,32.5390,26,2021-03-27,0.00,47.8,59.2
Location 1,-117.1219,32.5390,26,2021-03-28,0.00,47.1,68.7
Location 1,-117.1219,32.5390,26,2021-03-29,0.00,50.9,79.8
Location 1,-117.1219,32.5390,26,2021-03-30,0.00,51.0,68.9
Location 1,-117.1219,32.5390,26,2021-03-31,0.00,51.9,62.9
Location 1,-117.1219,32.5390,26,2021-04-01,0.00,50.9,85.1
Location 1,-117.1219,32.5390,26,2021-04-02,0.00,55.3,84.8
Location 1,-117.1219,32.5390,26,2021-04-03,0.00,53.7,64.1
Location 1,-117.1219,32.5390,26,2021-04-04,0.00,52.1,63.0
Location 1,-117.1219,32.5390,26,2021-04-05,0.00,50.9,67.5
Location 1,-117.1219,32.5390,26,2021-04-06,0.00,55.7,61.6
Location 1,-117.1219,32.5390,26,2021-04-07,0.00,53.5,63.3
Location 1,-117.1219,32.5390,26,2021-04-08,0.00,53.6,68.1
Location 1,-117.1219,32.5390,26,2021-04-09,0.00,54.4,64.2
Location 1,-117.1219,32.5390,26,2021-04-10,0.00,55.0,64.0
Location 1,-117.1219,32.5390,26,2021-04-11,0.00,55.4,64.5
Location 1,-117.1219,32.5390,26,2021-04-12,0.00,56.5,62.4
Location 1,-117.1219,32.5390,26,2021-04-13,0.00,56.5,62.5
Location 1,-117.1219,32.5390,26,2021-04-14,0.00,54.3,58.0
Location 1,-117.1219,32.5390,26,2021-04-15,0.00,53.0,59.5
Location 1,-117.1219,32.5390,26,2021-04-16,0.00,50.5,61.7
Location 1,-117.1219,32.5390,26,2021-04-17,0.00,54.5,62.7
Location 1,-117.1219,32.5390,26,2021-04-18,0.00,55.4,62.1
Location 1,-117.1219,32.5390,26,2021-04-19,0.00,54.0,78.0
Location 1,-117.1219,32.5390,26,2021-04-20,0.00,53.4,74.7
Location 1,-117.1219,32.5390,26,2021-04-21,0.00,56.1,61.2
Location 1,-117.1219,32.5390,26,2021-04-22,0.01,55.2,60.6
Location 1,-117.1219,32.5390,26,2021-04-23,0.00,54.9,59.9
Location 1,-117.1219,32.5390,26,2021-04-24,0.00,55.7,60.9
