PRISM Time Series Data
Locations: 157
"Climate variables: ppt,tmin,tmax"
Spatial resolution: 4km
Period: 2022-01-01 - 2022-08-30
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Nov-13
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmax (degrees F)
Location 1,-117.1219,32.5390,26,2022-01-01,0.00,51.2,62.0
Location 1,-117.1219,32.5390,26,2022-01-02,0.00,47.0,61.2
Location 1,-117.1219,32.5390,26,2022-01-03,0.00,43.3,65.4
Location 1,-117.1219,32.5390,26,2022-01-04,0.00,42.2,58.7
Location 1,-117.1219,32.5390,26,2022-01-05,0.00,42.9,57.7
Location 1,-117.1219,32.5390,26,2022-01-06,0.00,43.3,60.6
Location 1,-117.1219,32.5390,26,2022-01-07,0.00,44.8,61.0
Location 1,-117.1219,32.5390,26,2022-01-08,0.00,48.8,58.6
Location 1,-117.1219,32.5390,26,2022-01-09,0.00,47.6,59.9
Location 1,-117.1219,32.5390,26,2022-01-10,0.00,46.5,66.9
Location 1,-117.1219,32.5390,26,2022-01-11,0.00,49.5,69.6
Location 1,-117.1219,32.5390,26,2022-01-12,0.00,52.3,76.4
Location 1,-117.1219,32.5390,26,2022-01-13,0.00,50.4,73.5
Location 1,-117.1219,32.5390,26,2022-01-14,0.00,51.9,70.0
Location 1,-117.1219,32.5390,26,2022-01-15,0.00,52.7,67.7
Location 1,-117.1219,32.5390,26,2022-01-16,0.03,54.4,70.7
Location 1,-117.1219,32.5390,26,2022-01-17,0.00,53.7,64.5
Location 1,-117.1219,32.5390,26,2022-01-18,0.13,55.1,63.9
Location 1,-117.1219,32.5390,26,2022-01-19,0.00,55.6,61.9
Location 1,-117.1219,32.5390,26,2022-01-20,0.00,49.4,62.5
Location 1,-117.1219,32.5390,26,2022-01-21,0.00,47.8,66.7
Location 1,-117.1219,32.5390,26,2022-01-22,0.00,48.2,62.5
Location 1,-117.1219,32.5390,26,2022-01-23,0.00,46.9,67.8
Location 1,-117.1219,32.5390,26,2022-01-24,0.00,46.3,66.9
Location 1,-117.1219,32.5390,26,2022-01-25,0.00,45.6,65.7
Location 1,-117.1219,32.5390,26,2022-01-26,0.00,44.6,60.9
Location 1,-117.1219,32.5390,26,2022-01-27,0.00,42.7,62.3
Location 1,-117.1219,32.5390,26,2022-01-28,0.00,45.2,70.2
Location 1,-117.1219,32.5390,26,2022-01-29,0.00,46.5,73.0
Location 1,-117.1219,32.5390,26,2022-01-30,0.00,46.3,67.6
Location 1,-117.1219,32.5390,26,2022-01-31,0.00,45.9,63.8
Location 1,-117.1219,32.5390,26,2022-02-01,0.00,45.7,61.0
Location 1,-117.1219,32.5390,26,2022-02-02,0.00,49.9,61.6
Location 1,-117.1219,32.5390,26,2022-02-03,0.00,43.2,63.3
Location 1,-117.1219,32.5390,26,2022-02-04,0.00,42.0,61.3
