PRISM Time Series Data
Location:  Lat: 32.8355   Lon: -117.1529   Elev: 381ft
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2018-01-01 - 2022-09-28
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2022-Nov-29
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
2018-01-01,0.00,48.3,58.5,68.6,46.8,0.85,13.58
2018-01-02,0.00,47.2,58.1,69.0,49.6,0.58,12.35
2018-01-03,0.00,53.0,64.9,76.9,49.0,1.04,20.79
2018-01-04,0.00,53.7,63.5,73.3,50.4,0.96,17.20
2018-01-05,0.00,51.8,64.2,76.7,44.6,1.53,23.04
2018-01-06,0.00,54.9,64.6,74.4,52.3,0.90,16.97
2018-01-07,0.00,55.5,64.1,72.7,55.4,1.00,12.70
2018-01-08,0.00,54.5,63.1,71.7,53.8,1.31,12.73
2018-01-09,1.30,59.8,66.8,73.9,54.9,1.35,16.14
2018-01-10,0.89,55.8,59.9,64.0,53.9,1.48,6.68
2018-01-11,0.03,51.5,56.8,62.1,52.2,1.29,5.50
2018-01-12,0.00,50.3,59.9,69.5,51.8,0.87,10.60
2018-01-13,0.00,51.1,61.7,72.2,51.0,1.19,13.88
2018-01-14,0.00,55.5,69.3,83.2,38.4,5.97,31.38
2018-01-15,0.00,54.1,67.3,80.5,38.1,5.85,28.97
2018-01-16,0.00,52.1,63.0,73.9,46.7,1.77,20.17
2018-01-17,0.00,52.0,61.2,70.4,50.7,1.17,13.82
2018-01-18,0.00,52.9,64.6,76.3,49.4,2.47,19.93
2018-01-19,0.00,53.6,65.1,76.5,50.6,1.46,21.08
2018-01-20,0.02,54.3,58.9,63.6,50.6,0.97,6.88
2018-01-21,0.00,46.4,53.2,60.1,39.6,2.47,10.37
