,date,tmin,tmax
0,2018-01-01,48.3,68.6
1,2018-01-02,47.2,69.0
2,2018-01-03,53.0,76.9
3,2018-01-04,53.7,73.3
4,2018-01-05,51.8,76.7
5,2018-01-06,54.9,74.4
6,2018-01-07,55.5,72.7
7,2018-01-08,54.5,71.7
8,2018-01-09,59.8,73.9
9,2018-01-10,55.8,64.0
10,2018-01-11,51.5,62.1
11,2018-01-12,50.3,69.5
12,2018-01-13,51.1,72.2
13,2018-01-14,55.5,83.2
14,2018-01-15,54.1,80.5
15,2018-01-16,52.1,73.9
16,2018-01-17,52.0,70.4
17,2018-01-18,52.9,76.3
18,2018-01-19,53.6,76.5
19,2018-01-20,54.3,63.6
20,2018-01-21,46.4,60.1
21,2018-01-22,44.5,61.8
22,2018-01-23,44.6,66.2
23,2018-01-24,44.9,72.9
24,2018-01-25,45.7,76.9
25,2018-01-26,44.1,62.8
26,2018-01-27,45.9,63.0
27,2018-01-28,44.9,70.5
28,2018-01-29,51.1,84.1
29,2018-01-30,55.6,85.1
30,2018-01-31,55.1,81.1
31,2018-02-01,52.8,78.2
32,2018-02-02,52.3,78.6
33,2018-02-03,54.2,81.3
34,2018-02-04,52.9,79.0
35,2018-02-05,50.8,81.4
36,2018-02-06,50.2,71.9
37,2018-02-07,49.2,67.7
38,2018-02-08,50.9,81.1
39,2018-02-09,49.5,79.6
40,2018-02-10,48.5,69.3
41,2018-02-11,53.5,63.8
42,2018-02-12,52.0,68.5
43,2018-02-13,51.0,60.1
44,2018-02-14,50.0,64.7
45,2018-02-15,53.0,69.3
46,2018-02-16,51.7,69.6
47,2018-02-17,50.0,74.8
48,2018-02-18,48.7,74.6
49,2018-02-19,49.9,67.7
50,2018-02-20,39.3,58.0
51,2018-02-21,39.0,57.7
52,2018-02-22,42.4,58.2
53,2018-02-23,43.3,59.1
54,2018-02-24,40.9,55.7
55,2018-02-25,38.8,62.2
56,2018-02-26,41.3,66.9
57,2018-02-27,44.6,63.3
58,2018-02-28,41.8,55.9
59,2018-03-01,41.2,59.0
60,2018-03-02,44.2,61.6
61,2018-03-03,44.7,63.6
62,2018-03-04,50.6,61.4
63,2018-03-05,44.4,60.2
64,2018-03-06,44.1,71.2
65,2018-03-07,49.4,75.0
66,2018-03-08,50.9,71.9
67,2018-03-09,50.4,70.5
68,2018-03-10,51.2,67.8
69,2018-03-11,57.4,60.3
70,2018-03-12,58.0,67.9
71,2018-03-13,58.0,68.8
72,2018-03-14,57.5,68.8
73,2018-03-15,55.2,64.2
74,2018-03-16,47.6,60.9
75,2018-03-17,46.4,61.0
76,2018-03-18,48.0,60.7
77,2018-03-19,46.5,60.5
78,2018-03-20,47.1,69.9
79,2018-03-21,50.4,70.2
80,2018-03-22,52.2,74.7
81,2018-03-23,56.7,69.7
82,2018-03-24,56.3,66.1
83,2018-03-25,51.1,61.6
84,2018-03-26,48.1,61.1
85,2018-03-27,46.6,62.3
86,2018-03-28,45.9,69.2
87,2018-03-29,47.8,72.3
88,2018-03-30,50.5,72.4
89,2018-03-31,51.6,75.1
90,2018-04-01,52.0,71.1
91,2018-04-02,55.0,65.7
92,2018-04-03,56.2,63.4
93,2018-04-04,54.2,68.2
94,2018-04-05,55.5,65.3
95,2018-04-06,55.0,67.7
96,2018-04-07,54.2,68.8
97,2018-04-08,57.1,71.8
98,2018-04-09,55.2,74.1
99,2018-04-10,54.4,86.2
100,2018-04-11,56.1,88.2
101,2018-04-12,55.9,75.9
102,2018-04-13,50.5,65.8
103,2018-04-14,50.0,76.8
104,2018-04-15,53.7,84.8
105,2018-04-16,54.0,77.5
106,2018-04-17,51.9,65.2
107,2018-04-18,48.3,64.8
108,2018-04-19,48.3,67.3
109,2018-04-20,49.0,61.2
110,2018-04-21,49.5,68.7
111,2018-04-22,50.8,77.8
112,2018-04-23,53.8,77.0
113,2018-04-24,53.7,74.5
114,2018-04-25,54.1,70.1
115,2018-04-26,55.1,69.9
116,2018-04-27,56.1,68.6
117,2018-04-28,53.3,67.6
118,2018-04-29,54.3,68.9
119,2018-04-30,56.8,66.3
120,2018-05-01,54.0,63.1
121,2018-05-02,51.8,60.0
122,2018-05-03,50.3,60.9
123,2018-05-04,49.6,68.7
124,2018-05-05,53.9,83.9
125,2018-05-06,56.0,82.1
126,2018-05-07,55.2,77.9
127,2018-05-08,54.3,72.0
128,2018-05-09,55.9,71.6
129,2018-05-10,57.4,72.4
130,2018-05-11,57.9,72.1
131,2018-05-12,54.7,61.1
132,2018-05-13,54.6,63.9
133,2018-05-14,54.9,67.5
134,2018-05-15,56.7,68.0
135,2018-05-16,58.0,69.4
136,2018-05-17,55.9,68.9
137,2018-05-18,55.6,66.9
138,2018-05-19,57.8,65.1
139,2018-05-20,58.8,66.4
140,2018-05-21,57.2,65.0
141,2018-05-22,57.2,64.8
142,2018-05-23,56.5,65.8
143,2018-05-24,58.4,66.6
144,2018-05-25,57.8,64.4
145,2018-05-26,56.0,68.7
146,2018-05-27,56.3,66.4
147,2018-05-28,58.1,69.5
148,2018-05-29,59.6,70.9
149,2018-05-30,59.0,68.6
150,2018-05-31,58.5,69.3
151,2018-06-01,58.6,69.8
152,2018-06-02,56.0,72.2
153,2018-06-03,55.5,73.7
154,2018-06-04,59.7,74.6
155,2018-06-05,60.4,71.7
156,2018-06-06,60.9,69.5
157,2018-06-07,59.9,71.2
158,2018-06-08,56.5,70.8
159,2018-06-09,56.3,77.8
160,2018-06-10,60.7,77.9
161,2018-06-11,59.3,75.2
162,2018-06-12,59.6,75.9
163,2018-06-13,60.4,75.2
164,2018-06-14,61.2,75.7
165,2018-06-15,62.2,83.1
166,2018-06-16,61.2,75.5
167,2018-06-17,60.6,65.6
168,2018-06-18,60.6,67.9
169,2018-06-19,61.3,70.8
170,2018-06-20,60.4,72.2
171,2018-06-21,61.7,73.2
172,2018-06-22,62.6,73.5
173,2018-06-23,62.3,77.0
174,2018-06-24,61.8,67.6
175,2018-06-25,61.2,71.9
176,2018-06-26,61.4,73.9
177,2018-06-27,61.7,76.2
178,2018-06-28,62.3,75.1
179,2018-06-29,60.9,72.3
180,2018-06-30,61.8,70.3
181,2018-07-01,60.7,72.5
182,2018-07-02,61.5,73.9
183,2018-07-03,63.5,76.6
184,2018-07-04,63.0,74.3
185,2018-07-05,62.6,78.0
186,2018-07-06,63.6,83.6
187,2018-07-07,66.3,102.8
188,2018-07-08,71.4,92.9
189,2018-07-09,71.5,91.0
190,2018-07-10,70.0,86.8
191,2018-07-11,67.6,81.2
192,2018-07-12,67.7,81.1
193,2018-07-13,68.3,79.9
194,2018-07-14,68.2,81.6
195,2018-07-15,68.2,80.7
196,2018-07-16,65.2,80.3
197,2018-07-17,65.5,79.7
198,2018-07-18,66.6,79.3
199,2018-07-19,66.2,78.1
200,2018-07-20,66.3,81.1
201,2018-07-21,67.1,77.9
202,2018-07-22,68.1,80.8
203,2018-07-23,67.5,83.9
204,2018-07-24,67.8,89.4
205,2018-07-25,67.8,87.9
206,2018-07-26,67.3,84.6
207,2018-07-27,66.8,80.8
208,2018-07-28,67.5,89.8
209,2018-07-29,68.2,80.8
210,2018-07-30,69.1,88.4
211,2018-07-31,69.8,86.2
212,2018-08-01,70.2,86.6
213,2018-08-02,71.1,87.7
214,2018-08-03,69.8,85.9
215,2018-08-04,69.6,85.2
216,2018-08-05,67.0,86.5
217,2018-08-06,66.5,84.9
218,2018-08-07,66.3,88.1
219,2018-08-08,69.4,91.4
220,2018-08-09,70.9,91.5
221,2018-08-10,73.4,92.0
222,2018-08-11,73.5,89.3
223,2018-08-12,72.5,87.6
224,2018-08-13,70.5,84.9
225,2018-08-14,68.5,81.8
226,2018-08-15,68.7,80.5
227,2018-08-16,69.3,79.6
228,2018-08-17,70.5,80.4
229,2018-08-18,71.5,81.5
230,2018-08-19,70.4,82.8
231,2018-08-20,69.9,81.3
232,2018-08-21,70.5,80.1
233,2018-08-22,70.8,80.7
234,2018-08-23,69.7,81.8
235,2018-08-24,69.3,80.7
236,2018-08-25,67.3,78.6
237,2018-08-26,69.1,78.7
238,2018-08-27,66.6,79.9
239,2018-08-28,64.3,78.9
240,2018-08-29,65.5,79.4
241,2018-08-30,65.4,82.6
242,2018-08-31,64.0,84.7
243,2018-09-01,64.2,80.2
244,2018-09-02,66.3,75.7
245,2018-09-03,67.5,76.5
246,2018-09-04,67.0,75.5
247,2018-09-05,67.8,73.9
248,2018-09-06,67.6,78.5
249,2018-09-07,67.6,76.4
250,2018-09-08,64.7,79.2
251,2018-09-09,62.5,86.1
252,2018-09-10,63.8,82.4
253,2018-09-11,60.9,78.7
254,2018-09-12,64.3,76.9
255,2018-09-13,61.8,79.1
256,2018-09-14,61.7,81.1
257,2018-09-15,62.9,86.6
